STD_YM	STD_YMD	HDONG_CD	HDONG_NM	Total	Total_Man	Total_Woman	60P_Total	60P_Man	60P_Woman	MAN_FLOW_POP_CNT_0004	MAN_FLOW_POP_CNT_0509	MAN_FLOW_POP_CNT_1014	MAN_FLOW_POP_CNT_1519	MAN_FLOW_POP_CNT_2024	MAN_FLOW_POP_CNT_2529	MAN_FLOW_POP_CNT_3034	MAN_FLOW_POP_CNT_3539	MAN_FLOW_POP_CNT_4044	MAN_FLOW_POP_CNT_4549	MAN_FLOW_POP_CNT_5054	MAN_FLOW_POP_CNT_5559	MAN_FLOW_POP_CNT_6064	MAN_FLOW_POP_CNT_6569	MAN_FLOW_POP_CNT_70U	WMAN_FLOW_POP_CNT_0004	WMAN_FLOW_POP_CNT_0509	WMAN_FLOW_POP_CNT_1014	WMAN_FLOW_POP_CNT_1519	WMAN_FLOW_POP_CNT_2024	WMAN_FLOW_POP_CNT_2529	WMAN_FLOW_POP_CNT_3034	WMAN_FLOW_POP_CNT_3539	WMAN_FLOW_POP_CNT_4044	WMAN_FLOW_POP_CNT_4549	WMAN_FLOW_POP_CNT_5054	WMAN_FLOW_POP_CNT_5559	WMAN_FLOW_POP_CNT_6064	WMAN_FLOW_POP_CNT_6569	WMAN_FLOW_POP_CNT_70U
201903	20190301	1114052000	소공동	200935.61	109945.93	90989.68	52514.52	34225.39	18289.13	1.36	450.25	1804.74	2891.55	6181.97	9745.9	9320.89	8740.81	8199.76	9610.64	9206.21	9566.46	10583.66	8914.72	14727.01	0	638.31	2496.27	4027.43	8953.04	10517.23	8193.78	8023.13	7810.83	7904.78	6928.69	7207.06	7222.1	4884.4	6182.63
201903	20190302	1114052000	소공동	169073.9	92514.02	76559.88	37001.67	24083.16	12918.51	7.08	322.19	1292.93	2102.44	5731.45	9270.96	8719.28	8304.27	7113.32	8424.66	8284.58	8857.7	9382.9	6716.26	7984	2.33	443.85	1758.14	2987.89	7905.22	9922.79	8072.85	7314.4	6429.29	6726.62	6122.74	5955.25	5414.91	3383.91	4119.69
201903	20190303	1114052000	소공동	127720.21	71204.44	56515.77	27596.53	18007.14	9589.39	0	189.2	777.16	1876.07	4948.59	7268.88	6797.66	6286.34	5420.51	6407.2	6497	6728.69	7054.16	5139.41	5813.57	0.26	192.63	924.84	2609.09	6563.89	7520.72	5725.55	5308.42	4473.98	4893.87	4348.17	4364.96	3994.55	2340.41	3254.43
201903	20190304	1114052000	소공동	252978.99	150890.65	102088.34	49915.94	34734.6	15181.34	3.85	113.86	315.22	2167.35	5968.22	10932.96	13801.92	17276.41	15935.61	18971.83	15998.85	14669.97	14046.58	9521.68	11166.34	1.78	110.09	662.99	3788.36	10800.44	13233.91	11963.66	10804.16	9389.74	10041.86	8494.39	7615.62	6471.2	3806.89	4903.25
201903	20190305	1114052000	소공동	267212.88	159876.85	107336.03	52311.48	36630.06	15681.42	4.23	62.46	232.52	2148.04	6105.89	11141.99	14432.72	18551.54	17328.28	20508.3	17203.89	15526.93	14913.29	10553.24	11163.53	1.2	75.92	605.59	3571.51	11061.84	13732.85	12584.96	11905.41	10390.53	10821.31	8875.08	8028.41	6719.58	4094.73	4867.11
201903	20190306	1114052000	소공동	266690.36	159010.74	107679.62	50183.56	34652.68	15530.88	4.52	86.41	269.37	2114.39	6268.81	11446.59	14812.65	18728.4	17563.89	20589.59	17248.19	15225.25	14109.31	9640.81	10902.56	2.73	77.71	630.28	3446.6	10818.78	14127.43	12900.84	12124.36	10407.31	10828.51	8931.99	7852.2	6577.66	3964.94	4988.28
201903	20190307	1114052000	소공동	285507	169341.28	116165.72	56179.96	38927.64	17252.32	8.25	94.95	288.78	2222.99	6761.47	12190.09	15163.74	19504.11	18412.47	21359.81	17947.83	16459.15	15591.74	11083.99	12251.91	0.68	97.51	640.22	3825.79	12016.08	14927.98	13909.65	12780.99	11178.08	11504.57	9514.13	8517.72	7209.19	4366.02	5677.11
201903	20190308	1114052000	소공동	291128.3	172258.16	118870.14	55203.82	38496.23	16707.59	5.75	115.48	343.66	2617.18	7411.11	13450.95	16314.66	19551.47	18399.48	20885.23	18086.3	16580.66	15670.9	10887.21	11938.12	4.35	92.57	717.4	4134.35	12457.58	15803.05	14144.68	13354.45	11461.57	11857	9598.43	8537.12	6995.44	4227.46	5484.69
201903	20190309	1114052000	소공동	191302.03	105615.25	85686.78	43305.48	28346.39	14959.09	0.88	280.47	1072.42	2209.06	6260.19	10536.9	10389.94	9555.77	8047.61	9133.41	9398.7	10383.51	10794.52	7896.65	9655.22	0.34	434.7	1372.48	2984.25	9213.67	11353.34	9418.5	7964.87	6859.94	7328.8	6840.99	6955.81	6178.35	3877.68	4903.06
201903	20190310	1114052000	소공동	137738.98	74780.11	62958.87	29306.29	19254.5	10051.79	3.54	230.02	829.49	1874.61	4821.71	7647.39	7135.07	6601.94	5553.3	6811.15	6884.49	7132.9	7628.02	5437.67	6188.81	0	235.81	1379.23	4222.23	7654.63	8046.15	6445.67	5757.69	4681.7	5130.31	4652.58	4701.08	4143.6	2644.47	3263.72
201903	20190311	1114052000	소공동	262295.61	155357.38	106938.23	51388.37	35342.9	16045.47	19.46	81.53	255.14	2145.38	6000.37	11133.59	14206.6	18191.46	16753.07	19635.61	16658.83	14933.44	14137.41	10075.06	11130.43	3.73	79.95	637.81	3620.64	10827.39	13374.33	12605.94	12026.52	10523.11	10328.32	8873.26	7991.76	6693.48	4077.13	5274.86
201903	20190312	1114052000	소공동	270250.92	161377.14	108873.78	52511.95	36624.98	15886.97	7.46	90.83	251.47	2112.62	5998.82	11177.62	14677.89	18773.02	17667.22	20478.58	17543.91	15972.72	15098.01	10215.01	11311.96	9.61	73.45	658.33	3537.38	10609.09	13802.84	13142.99	12265.11	10718.42	10931.92	8920.46	8317.21	6728.28	3925.11	5233.58
201903	20190313	1114052000	소공동	274804.61	163119.13	111685.48	52930.07	36734.78	16195.29	13.58	98.46	341.83	2247.4	6234.74	11575.9	15103.46	19037.81	17889.41	20829.96	17509.14	15502.66	14815.36	10492.98	11426.44	0.58	86.58	669.5	3651.37	11164.28	14384.6	13466.02	12714.96	10842.74	11053.74	9057.4	8398.42	6878.9	4115	5201.39
201903	20190314	1114052000	소공동	282075.68	168321.85	113753.83	54985.08	38621.59	16363.49	12.04	93.19	294.74	2217.38	6826.82	12378.17	15344.98	19141.67	17862.56	21187.9	17922.01	16418.8	15610.92	11134.46	11876.21	2.79	82.22	672.95	3923.36	11550.07	14684.5	13828.81	12725.17	11208.44	11251.1	9241.14	8219.79	6973.18	4111.32	5278.99
