,평균 : MAN,평균 : WMAN,평균 : MAN_old,평균 : WMAN_old,합계 : 필드1,합계 : 필드2
고산1동,72652.44452,66420.82129,13189.02839,10021.51226,18%,15%
고산2동,143239.2042,103362.489,23798.19613,15668.50129,17%,15%
고산3동,27228.73,22792.72065,5354.670645,3755.105806,20%,16%
공릉1동,99309.88323,77964.87806,22728.05581,14086.26613,23%,18%
공릉2동,114938.141,90290.48226,21677.41258,13219.97677,19%,15%
광희동,126441.5852,105702.3629,27523.46387,16905.65613,22%,16%
남산1동,22726.56935,25371.42065,5975.409032,6332.520323,26%,25%
남산2동,27433.68774,29424.72161,6672.486129,6638.060645,24%,23%
남산3동,6285.721613,5794.890645,1471.35871,1358.552258,23%,23%
남산4동,14453.40226,12479.49581,3371.17129,2703.444194,23%,22%
다산동,41691.76968,36865.81903,9596.4,7676.463871,23%,21%
대봉1동,38145.08968,35746.20065,8321.322581,7010.334839,22%,20%
대봉2동,4415.546774,3662.772903,1138.558065,854.9125806,26%,23%
대신동,29454.7929,30398.58419,8036.827419,7785.196452,27%,26%
동인동,40443.23258,29813.7029,9109.353548,5861.544194,23%,20%
동화동,15507.0629,12433.35548,3262.365806,2031.202581,21%,16%
두산동,61387.10323,52334.45452,12154.16129,10444.25613,20%,20%
만촌1동,61082.1,45506.33355,12990.98516,8801.940645,21%,19%
만촌2동,40600.92419,33041.51903,7664.352903,5877.212903,19%,18%
만촌3동,21799.85581,18767.16742,3540.920645,2864.716129,16%,15%
명동,168539.6929,132818.981,33638.08613,18924.76516,20%,14%
범물1동,21968.16097,17236.50194,5033.726452,3981.784194,23%,23%
범물2동,16213.15226,14316.58258,3446.453548,2791.350968,21%,19%
범어1동,40258.23839,35951.98387,8572.780968,6450.233226,21%,18%
범어2동,44330.01484,38292.46871,8689.728065,6508.096452,20%,17%
범어3동,26299.25484,23131.31742,5302.802258,4041.537097,20%,17%
범어4동,31734.0871,30718.72323,5544.112903,4623.637097,17%,15%
삼덕동,30978.5829,27709.12194,6202.667419,4685.924194,20%,17%
상계10동,21892.73677,17653.64742,5002.754516,3091.473871,23%,18%
상계1동,71683.70839,53009.3871,17867.47516,10911.71484,25%,21%
상계2동,49098.75581,45999.43548,11036.57613,8484.784516,22%,18%
상계3.4동,27985.70968,25947.36903,8207.219355,7663.614194,29%,30%
상계5동,18553.05774,15003.85,4599.13129,3433.582903,25%,23%
상계6.7동,107417.5568,87831.58032,22570.91677,16177.44161,21%,18%
상계8동,32468.31,26449.05194,7112.124194,4980.939355,22%,19%
상계9동,14890.15032,12836.77839,3407.122258,2386.832581,23%,19%
상동,41267.99194,33006.74516,9688.31,7036.520645,23%,21%
성내1동,73733.7871,71723.11677,16525.59161,13369.95226,22%,19%
성내2동,69455.07484,66125.6729,17298.6429,14459.07258,25%,22%
성내3동,24809.07581,18206.24548,6959.849032,4557.364839,28%,25%
소공동,122331.8774,96309.03226,24856.37968,13893.39839,20%,14%
수성1가동,36317.41645,34849.85065,8395.373871,7479.444839,23%,21%
수성2.3가동,30113.25645,26468.46871,6250.007419,5075.675484,21%,19%
수성4가동,41004.67839,39026.80516,9187.017742,8338.131935,22%,21%
신당5동,22340.96581,17317.17097,4706.022903,2702.082581,21%,16%
신당동,65089.03935,54978.67968,14082.86613,10847.05323,22%,20%
약수동,46321.34323,43050.76677,10544.20581,8593.080968,23%,20%
월계1동,44775.93645,33236.57903,10588.48323,7087.985484,24%,21%
월계2동,25033.38581,19140.02935,5715.235806,4079.144194,23%,21%
월계3동,60531.52742,44007.84419,14200.78742,9423.812581,23%,21%
을지로동,74450.69548,56884.7571,16847.25871,9113.89129,23%,16%
장충동,43589.6529,30529.80742,10061.73774,5036.719355,23%,16%
중계1동,21875.69226,19087.17871,4617.569032,2745.961613,21%,14%
중계2.3동,42750.97452,38632.2371,9683.168387,6808.010645,23%,18%
중계4동,20748.38,17153.28258,5088.928387,3509.459032,25%,20%
중계본동,23107.47677,24591.91548,4949.305484,3459.549355,21%,14%
중동,29592.71839,22709.51677,7033.704516,4762.717419,24%,21%
중림동,23001.02548,17294.76742,4836.259677,2521.11129,21%,15%
지산1동,36090.70677,29912.26581,7892.183226,6515.94129,22%,22%
지산2동,19370.21097,16915.59032,4526.484194,3616.23,23%,21%
청구동,16098.69871,13483.18323,3501.296129,2346.056129,22%,17%
총합계,46628.675,38959.97276,10105.09159,7206.828121,22%,18%
파동,26151.17194,20555.09258,6895.188065,5149.220968,26%,25%
필동,74808.06484,63100.07129,16054.38581,11241.34,21%,18%
하계1동,47573.97968,37318.75516,9689.433226,6231.569032,20%,17%
하계2동,39921.17452,33289.09194,8833.528065,6309.597419,22%,19%
황금1동,27968.57226,27030.11903,5679.312903,4510.85871,20%,17%
황금2동,33577.02548,26957.65161,7069.074194,5294.860968,21%,20%
황학동,33135.32323,24242.31742,7541.180323,3765.942581,23%,16%
회현동,146893.6577,128022.5394,33642.37065,28354.29484,23%,22%
